club_id,club_name
1154,Red Star FC
2796,Woking FC
452,BSC Young Boys
6893,Southampton FC U18
11141,Toronto FC
1083,FK Rostov
190,FC Copenhagen
7112,Rangers FC U20
4284,Sporting Kansas City
1247,Colorado Rapids
119,Maccabi Tel Aviv
11438,Harrow Borough FC
3930,Bray Wanderers
11994,Reading FC U18
36123,FC Reading U21
321,FC Sion
22563,Oxford City
19447,IF Angered United
434,FC Luzern
61,Servette FC
24219,Stoke City U21
7609,Waterford United
4291,Portland Timbers
36546,Southampton FC U21
6631,FC Tokyo
9030,Botafogo Futebol Clube (SP)
986,Cambridge United
8816,FC Dallas
11143,Bishop's Stortford FC
20428,FC United of Manchester
6297,Al-Gharafa SC
8714,Carrick Rangers
3237,KR Reykjavík
1096,Royal Antwerp FC
678,Aarhus GF
2566,NK Zadar
11470,CD O'Higgins
25,FC Energie Cottbus
448,FK Vojvodina Novi Sad
25745,Needham Market FC
614,Clube de Regatas do Flamengo
171,Real Murcia CF
199,Sport Club Corinthians Paulista
301,Steaua Bukarest
9636,Seattle Sounders FC
2696,Krylya Sovetov Samara
11596,AD Alcorcón
3716,Newport County
33614,Norwich City U21
8445,Wellington Phoenix
33560,Frome Town FC
3698,Chelmsford City
2778,FC Nordsjaelland
238,Lech Poznan
1053,Aalborg BK
5432,Al-Nasr (Dubai)
3015,Annan Athletic FC
801,IFK Göteborg
15439,AC Le Havre B
26,FC Basel 1893
14460,Cardiff City U18
2759,Ross County FC
11915,Llanelli AFC
20877,Brackley Town
33438,AO Episkopi Rethymnou
7,El Ahly Cairo
19715,Hull City U23
971,Scarborough Athletic
75,Unknown
7406,Syrianska FC
3318,Racing Club de France football
6945,Crystal Palace U23
6950,Crystal Palace U18
5623,Monarcas Morelia
2794,Havant & Waterlooville FC
28185,CD Cruz Azul Hidalgo
6399,Sandefjord Fotball
282,FK Sarajevo
22552,Whitehawk FC
496,Malmö FF
8780,Sligo Rovers
626,New England Revolution
25467,Philadelphia Union
828,Urawa Red Diamonds
6684,Gainsborough Trinity
3539,Tamworth FC
6894,Kayseri Erciyesspor
31367,Chester FC
3909,Shelbourne FC
4282,Hyde FC
22771,Guisborough Town FC
8510,Getafe CF B
40058,New York City FC
7454,Welling United
279,Ferencvárosi TC
204,Lierse SK (- 2018)
13575,Folkestone Invicta FC
3020,Alloa Athletic FC
12020,Harrogate Town
3489,Boston United
14389,Leicester City U18
9241,Diósgyőri VTK
3933,Nuneaton Town
419,GNK Dinamo Zagreb
7769,CFR Cluj
2832,Gaziantep Büyüksehir Belediyespor
33727,Queens Park Rangers U23
29842,Concord Rangers
8023,Al-Ittihad Jeddah
11310,Slough Town
4786,Dukla Banska Bystrica
9607,Harlow Town
9614,Östersunds FK
26091,Lekhwiya Sports Club
1230,Al-Arabi SC
68006,Hadley FC
195,Rosenborg BK
6414,Metalist Kharkiv (-2016)
4035,CF Pachuca
1029,Club Atlético Vélez Sarsfield
9267,West Ham United U21
11215,FK Olimpik Sarajevo
8813,Barton Rovers
11927,Burgess Hill Town
144,HNK Rijeka
15541,Al-Ahli Dubai Club
42394,Galway United FC
189,Club Atlético Boca Juniors
45604,Orlando City SC
1775,Club Atlético San Lorenzo de Almagro
19771,Akhisar Belediyespor
4078,Montreal Impact
10484,Kasimpasa
7831,Brisbane Roar
2797,Ebbsfleet United
42223,Imperial Academy
293,FSV Frankfurt
272,AIK
970,Perth Glory
8981,Bromley FC
3936,Dover Athletic
45277,Kerala Blasters FC
209,Club Atlético River Plate
2419,Atletico River Plate Montevideo
2524,Al-Jazira (Abu Dhabi)
18544,Al-Nassr Riad
978,Club de Regatas Vasco da Gama
39341,Leicester City U21
1195,Kidderminster Harriers
12335,Solihull Moors
26122,Banbury United
14837,Club Atlético River Plate II
14648,AFC Bournemouth U18
38967,AFC Bournemouth U21
20519,Virtus Entella
2481,FC Sheriff Tiraspol
126,Caykur Rizespor
22219,Jiangsu Suning
6954,Central Coast Mariners
4000,Lechia Gdansk
16646,UP Langreo
2998,Margate FC
17250,Beijing Renhe
602,FK Zalgiris Vilnius
5228,FK Atlantas Klaipeda (–2020)
4287,Longford Town FC
33304,Dalian Yifang
8172,Atlético Nacional
1044,Djurgardens IF
5689,Cracovia
2697,Sanfrecce Hiroshima
197,AC Sparta Prague
28095,FK Ufa
5648,Gimnàstic de Tarragona
3182,Shandong Luneng Taishan
2414,AC Horsens
29228,Royal Excel Mouscron
11282,Alanyaspor
28643,Waasland-Beveren
5551,Newcastle United Jets
738,AC Le Havre
20955,Gosport Borough
3822,Weymouth FC
6340,Braintree Town
820,Genclerbirligi Ankara
24214,Burnley FC U23
34888,Salford City
3724,Hednesford Town
1023,Sociedade Esportiva Palmeiras
30504,Atlético Venezuela
432,Chicago Fire
27190,Shanghai SIPG
3187,Tianjin Teda
21550,Recreativo Granada
9811,Deportivo Pereira
4768,Changchun Yatai
2352,CD América de Cali
6368,Huachipato FC
21168,Wisconsin Badgers (University of Wisconsin)
4286,Limerick FC
68000,Brocton FC
2497,Real Oviedo
5771,Levadia Tallinn
589,Antalyaspor
6890,Istanbul Basaksehir FK
16214,Al-Wasl Sports Club
861,CA Peñarol
1245,KAS Eupen
1306,Danubio FC
23226,Leamington FC
7136,Envigado FC
10136,Leones FC
1109,BK Häcken
7078,Real Valladolid B
36628,Guizhou Hengfeng
4561,CS Emelec
4529,DAC Dunajska Streda
1467,Göztepe
941,FC Viktoria Plzen
501,FK Bodø/Glimt
723,Almere City FC
14629,Huddersfield Town U18
68608,CF Os Belenenses
2671,PAS Giannina
40812,Universitatea Craiova
168,Zaglebie Lubin
12658,Guiseley AFC
10093,Independiente Medellín
330,Clube Atlético Mineiro
2440,D.C. United
2727,Oud-Heverlee Leuven
7047,Maidstone United
11411,FC Banants Yerevan
6356,Mamelodi Sundowns FC
3426,Esbjerg fB
39336,Brighton & Hove Albion U23
29095,Extremadura UD
3948,Royale Union Saint Gilloise
1434,SC Telstar
7123,Maidenhead United
324,Pogon Szczecin
49734,FC Jumilla (- 2019)
30,FC Hansa Rostock
1241,Livingston FC
9598,Kawasaki Frontale
601,KV Kortrijk
18916,Guangzhou R&F
54189,RWD Molenbeek
51663,Atlanta United FC
16696,Gyeongnam FC
2077,Disqualification
2844,IFK Norrköping
4634,FK Vozdovac
3277,CD Universidad Católica
12469,KF Skënderbeu
8590,Atlas Guadalajara
1030,Asociación Atlética Argentinos Juniors
790,NK Maribor
29831,FC Viitorul Constanta
1557,Würzburger Kickers
11245,UD San Sebastián de los Reyes
19789,Yeni Malatyaspor
813,Columbus Crew SC
596,Gamba Osaka
2861,KV Oostende
11107,MOL Fehérvár FC
2407,CF Monterrey
4773,Ituano Futebol Clube (SP)
31297,Orion Tip Sered
9855,LDU Quito
6110,Korona Kielce
8936,Miedz Legnica
13241,UD Ibiza
2598,1.FK Pribram
45457,Pafos FC
9644,Rakow Czestochowa
3612,Al-Ahli SC
4031,Cosenza Calcio
10625,Qarabağ FK
3732,Hellerup IK
13286,Chorley FC
3523,Barcelona SC Guayaquil
4117,Wealdstone FC
8824,Sheffield United U23
39337,Derby County U23
24226,Wolverhampton Wanderers U23
41278,ACSC FC Arges
51772,FC Cincinnati
527,FC Lausanne-Sport
60073,Kórdrengir
6621,FK Cukaricki
7067,Billericay Town
8524,Olympique de Marseille B
24420,UD Logroñés
3938,Club Atlético Talleres
312,FC Dinamo Bucharest
5026,Lommel SK
17974,Deportivo Municipal
10217,Sarpsborg 08 FF
41274,Beerschot V.A.
34478,East Grinstead Town FC
81,VfL Osnabrück
14704,Grêmio Foot-Ball Porto Alegrense B
1177,Silkeborg IF
54704,Brentford FC B
3229,Al-Rayyan SC
13613,Sharjah Cultural Sports Club
20116,Leeds United U23
2502,CD Castellón
19585,Al-Kharaitiyat SC
18487,Al-Ahli Jeddah
46717,Charlotte Independence
3840,Adana Demirspor
22381,Al-Raed
3958,Vissel Kobe
48,Karlsruher SC
260,FC Zürich
10331,FC Porto B
3641,Degerfors IF
12135,FK Metalac Gornji Milanovac
10980,Racing de Santander B
12331,Sporting de Gijón B
1450,Club Sporting Cristal
28866,Getafe CF U19
1532,Albacete Balompié
3679,Atlético de Madrid B
76465,CD Rota
2296,CD Numancia
6992,Chornomorets Odessa
16492,UD Melilla
2867,Recreativo Huelva
5650,Pontevedra CF
7733,Qadsia SC
5649,Atlético Malagueño
3239,UE Lleida (- 2011)
6182,Valencia Mestalla
11603,RC Deportivo B
2619,Defensor Sporting Club
9645,CA Tiro Federal
22781,Associação Atlética Iguaçu (PR)
10773,RCD Espanyol B
7185,Panthrakikos Komotini
537,Botafogo de Futebol e Regatas
11617,CD Tenerife B
16683,UD Fuerteventura (- 2010)
13243,Universidad de Las Palmas (- 2011)
8494,RCD Mallorca B
6688,Bilbao Athletic
15447,Ontinyent CF
666,Real Jaén CF
656,Al-Sadd SC
333,Club Atlético Lanús
8516,CA Osasuna Promesas
10663,Liverpool FC Montevideo
22149,Associação Maga Esporte Clube (SC)
8519,Sevilla Atlético
6709,CF Atlante
1234,Club Atlético Independiente
8568,Atlético Ceuta
13607,Liberty Professionals FC
12523,Adap Galo Maringá Football Club (PR)
17300,Desportivo Brasil Ltda (SP)
2745,Polonia Warsaw
12318,Málaga CF U19
2672,APO Levadiakos
3828,Yokohama F. Marinos
13366,JS Kabylie
5662,Puebla FC
2154,Club Atlético Chacarita Juniors
15066,Hércules CF B
11642,Villajoyosa CF
1386,Reggina Calcio
12405,Real Unión Club
11986,UD Almería B
2784,APOEL Nicosia
830,Club Atlético Banfield
12292,Indios de Ciudad Juárez
625,Neuchâtel Xamax
12574,Club Deportivo Godoy Cruz Antonio Tomba
8174,FC Vaslui
9899,Real Sociedad B
6609,UD Lanzarote
2350,Millonarios FC
776,Coritiba Foot Ball Club
3037,Calcio Padova
2750,Bucaspor
19401,Bunyodkor Tashkent
634,MTK Budapest
14649,Boyacá Chicó FC
8384,Real Zaragoza B
3385,Panserraikos
28860,Athletic Bilbao U19
14707,Real Oviedo Vetusta
2923,CD Badajoz 1905
31843,Clube Esportivo Lajeadense (RS)
9840,Al-Shabab Riyadh
21253,Akademik Sofia
6593,Universitario de Deportes
13237,SD Lemona (- 2012)
28869,Racing Santander U19
16576,CD Guadalajara
10907,Zamora CF
8733,Celta Vigo B
11615,CD Guijuelo
34119,UD Maracena
20236,Montañeros CF
10958,Milan Primavera
4673,Arsenal Fútbol Club
83077,Alqueries CF
663,Dinamo Tbilisi
12853,FC Villarreal C
2580,FC Istres Ouest Provence
2477,Karpaty Lviv (-2021)
9478,Espanyol Barcelona U19
13238,SD Noja
11608,SD Beasain
32650,AAD Vitória das Tabocas (PE)
15080,Rayo Vallecano B
968,KVC Westerlo
2029,Ceará Sporting Club
13509,Al-Wakrah SC
653,OFI Crete FC
4064,Figueirense Futebol Clube
2729,Club Cienciano
4054,Orihuela CF
