"club_id","season","Y_margin_sum","n_sales_Y","spend_sum","n_buys","n_sales_tot","n_costzero","costzero_share","betweenness","out_degree","in_degree"
499,2010,6e+05,2,5800000,3,3,3,1,0,1,0
499,2011,0,1,2420000,3,1,1,1,117,1,1
499,2012,4250000,2,2550000,2,2,1,0.5,132.325322322605,2,1
499,2013,22950000,2,0,0,3,0,0,63.2608058608059,2,0
499,2014,0,0,5e+05,1,0,0,0,0,0,0
499,2015,1550000,2,1450000,3,2,0,0,42.6729288685171,2,0
499,2016,-3e+05,4,6e+05,1,4,0,0,0,1,0
499,2017,4025000,5,4450000,5,5,1,0.2,98.9685362056777,3,2
499,2018,-1900000,1,4140000,4,1,0,0,0,1,0
499,2019,4e+05,3,2500000,3,3,0,0,0,0,1
499,2021,0,0,1830000,1,0,0,0,0,0,0
506,2009,3300000,1,57300000,4,4,3,0.75,180.044141170147,2,4
506,2010,20800000,4,47300000,5,7,5,0.714285714285714,586.285869393764,6,4
506,2011,4650000,4,99330000,13,7,4,0.571428571428571,684.862966458207,6,10
506,2012,-26775000,5,71800000,8,7,4,0.571428571428571,171.434974190345,4,5
506,2013,1350000,8,45500000,13,11,2,0.181818181818182,292.577980395564,7,7
506,2014,12650000,6,57600000,15,8,2,0.25,322.643590631934,4,9
506,2015,23930000,7,180199000,14,7,0,0,352.465384275454,5,8
506,2016,41900000,11,155800000,6,12,0,0,335.451442199049,7,4
506,2017,42200000,18,159100000,11,18,5,0.277777777777778,582.558981054799,9,7
506,2018,52620000,10,259100000,7,10,2,0.2,251.904435841936,5,5
506,2019,36044000,13,223500000,6,13,2,0.153846153846154,371.063894944598,9,6
506,2020,57400000,5,108200000,4,5,2,0.4,355.218404461036,5,3
506,2021,-4.9e+07,2,23900000,3,2,0,0,69.9718364968365,2,1
512,2009,0,0,26050000,6,3,3,1,125.934523809524,2,2
512,2010,0,0,21100000,5,3,2,0.666666666666667,68.7094128094128,1,3
512,2011,-1e+05,1,24800000,3,3,2,0.666666666666667,0,0,1
512,2012,0,0,23680000,7,1,0,0,0,0,1
512,2013,0,0,6400000,2,0,0,0,10.0288461538462,0,2
512,2014,1500000,1,1800000,1,2,0,0,35.7451417536712,1,1
512,2015,9800000,2,53650000,5,3,0,0,199.752374790896,3,4
512,2016,2290000,1,36425000,6,1,0,0,20.9757936507937,1,2
512,2017,15740000,4,49300000,4,6,1,0.166666666666667,83.8902117073673,4,2
533,2009,0,0,16100000,3,1,1,1,0,0,1
533,2010,1.7e+07,2,22450000,7,6,4,0.666666666666667,247.155471794288,4,2
533,2011,0,0,4900000,7,2,1,0.5,71.8883458646617,1,2
533,2012,11400000,5,24900000,9,7,3,0.428571428571429,578.516933570833,5,4
533,2013,150000,2,9900000,5,3,0,0,7.99126984126984,1,2
533,2014,-25605000,7,19200000,7,7,0,0,350.61418648431,3,3
533,2015,-3875000,8,23400000,9,9,1,0.111111111111111,202.85580186135,5,2
533,2016,-6300000,7,27438000,7,7,0,0,136.498823763955,3,5
533,2017,-17700000,5,13700000,3,6,0,0,177.708153780774,4,3
533,2018,-550000,4,31500000,6,4,0,0,16.8603535353535,0,2
533,2019,43050000,8,5.5e+07,6,8,0,0,272.567068525094,5,2
533,2020,-8800000,3,3750000,2,3,0,0,181.29746031746,3,2
533,2021,-1e+06,1,0,0,1,0,0,0,1,0
543,2009,-70000,1,19200000,6,3,3,1,0,0,2
543,2010,685000,1,20215000,8,4,2,0.5,0,0,0
543,2011,55000,4,12050000,3,4,2,0.5,0,0,1
543,2018,15100000,6,108250000,9,6,4,0.666666666666667,301.357374711632,1,5
543,2019,3200000,2,116700000,7,2,1,0.5,131.130401813529,1,3
543,2020,10200000,3,84800000,5,3,0,0,330.657680185312,3,3
543,2021,3500000,3,26300000,4,3,1,0.333333333333333,127.696464646465,2,1
583,2009,-475000,2,15500000,4,5,5,1,180.309362859363,2,3
583,2010,6775000,1,9e+06,3,1,1,1,60.1956182706183,1,3
583,2011,6200000,3,107100000,11,4,3,0.75,759.63729340405,4,9
583,2012,1900000,1,1.51e+08,6,2,1,0.5,109.242379647207,1,4
583,2013,17500000,2,135900000,4,2,1,0.5,312.576080962381,2,4
583,2014,0,0,49500000,1,2,1,0.5,76.275,2,1
583,2015,-2.4e+07,1,116100000,5,3,0,0,376.556759274026,2,5
583,2016,18600000,4,134500000,6,4,0,0,417.665732332683,4,4
583,2017,48400000,5,2.38e+08,2,5,0,0,157.586607900304,4,2
583,2018,24500000,6,2.27e+08,4,6,0,0,218.647504129857,5,3
583,2019,-49400000,9,9.5e+07,4,9,0,0,324.331418089619,7,4
583,2020,-8e+05,1,57500000,3,1,0,0,37.3456135531136,0,3
583,2021,-3e+06,1,7.6e+07,2,1,0,0,262.392796092796,1,2
595,2012,-6575000,2,0,0,2,2,1,33.5845238095238,2,0
595,2013,1850000,1,1e+06,1,1,0,0,0,0,1
595,2014,-2500000,1,1e+05,1,1,1,1,0,1,0
595,2015,-5e+05,1,0,0,1,0,0,0,1,0
595,2016,-850000,4,250000,1,4,0,0,15.3683913308913,2,0
603,2013,-2660000,2,44015000,10,2,1,0.5,145.712208900939,0,5
603,2018,0,0,51200000,6,0,0,0,0,0,1
607,2021,-6e+05,1,15890000,5,1,1,1,0,0,1
610,2009,11100000,1,12300000,3,1,1,1,132.382323232323,1,1
610,2010,13600000,3,5e+06,1,3,3,1,114.843935231435,3,1
610,2011,6680000,2,13280000,5,3,2,0.666666666666667,505.208068174515,2,4
610,2012,18750000,6,5720000,3,8,5,0.625,498.126324133906,5,1
610,2013,-3e+06,1,6800000,2,4,1,0.25,267.939845782237,3,2
610,2014,11250000,7,12300000,5,7,4,0.571428571428571,449.663911629306,5,4
610,2015,5250000,2,11300000,3,2,0,0,101.742627695375,2,3
610,2016,23500000,10,43500000,4,10,0,0,286.928823800076,7,1
610,2017,20700000,5,26250000,7,5,0,0,158.101862391994,4,2
610,2018,-450000,2,52950000,5,2,0,0,211.15911392529,2,3
610,2019,3e+06,10,56700000,6,10,0,0,575.806518235675,8,3
610,2020,-3500000,5,63200000,5,5,0,0,446.363455433456,4,3
610,2021,-2.1e+07,5,18500000,3,5,0,0,166.761904761905,3,2
618,2009,11400000,1,18500000,5,3,3,1,150.011990134049,2,2
618,2010,8e+05,1,3925000,4,2,1,0.5,68.9202380952381,1,2
618,2011,18700000,5,15600000,9,6,4,0.666666666666667,257.140379722617,4,6
618,2012,3700000,2,4500000,2,2,0,0,0,1,0
618,2013,-22400000,4,15500000,4,4,0,0,442.999245985166,4,3
618,2014,0,0,4e+06,1,0,0,0,0,0,0
618,2015,-15050000,3,20300000,8,4,0,0,261.237578658012,4,3
618,2016,375000,3,7e+06,2,3,1,0.333333333333333,31.2897545265192,2,1
618,2017,-10300000,5,19300000,5,5,0,0,35.8760725190366,2,2
618,2018,9300000,5,1.5e+07,3,5,0,0,89.1101579706843,3,1
618,2019,10250000,5,1.3e+07,5,5,0,0,183.688783846872,2,4
618,2020,-10600000,5,4900000,2,5,0,0,68.7372294372294,3,0
621,2009,0,0,2350000,2,0,0,0,0,0,0
621,2010,0,0,2720000,2,0,0,0,0,0,0
621,2011,0,0,7500000,1,0,0,0,0,0,1
621,2012,35500000,1,2500000,1,1,1,1,19.4212883592679,1,1
621,2013,0,0,15400000,4,0,0,0,240.902380952381,0,4
621,2014,2.3e+07,1,1e+06,1,1,0,0,0,1,0
621,2015,0,0,1e+07,1,0,0,0,0,0,1
621,2017,2e+07,1,3.2e+07,1,1,0,0,2.48174603174603,1,1
621,2018,6.7e+07,1,32900000,5,1,0,0,33.0871628371628,1,3
621,2020,0,0,1.2e+07,1,0,0,0,0,0,1
630,2009,5e+06,1,5700000,4,2,1,0.5,78.938875013875,2,1
630,2010,-1.4e+07,1,0,0,2,1,0.5,0,1,0
630,2011,1600000,1,0,0,2,0,0,0,0,0
631,2009,550000,1,3e+07,3,2,2,1,116.67438084791,2,1
631,2010,5550000,3,121500000,6,4,4,1,99.4762321012321,2,2
631,2011,12360000,5,96450000,10,6,3,0.5,353.353534962629,4,3
631,2012,1.3e+07,1,109700000,8,2,0,0,555.282613013734,1,5
631,2013,-34770000,3,130350000,9,4,1,0.25,630.166046519289,4,5
631,2014,-18440000,4,137700000,6,7,1,0.142857142857143,528.341427866939,6,4
631,2015,21940000,6,89500000,8,7,2,0.285714285714286,310.619421717487,5,4
631,2016,-46500000,6,132800000,4,6,0,0,252.608243706011,4,4
631,2017,93100000,8,260500000,9,8,0,0,472.406348269591,7,7
631,2018,-2.1e+07,2,2.01e+08,3,2,0,0,106.958395577591,2,3
631,2019,108400000,6,4.5e+07,1,6,0,0,25.539534442166,4,1
631,2020,-17500000,3,247200000,5,3,0,0,533.424182571814,2,5
631,2021,-11700000,6,1.15e+08,1,6,0,0,318.098326673327,4,1
641,2016,9200000,4,47950000,8,4,3,0.75,71.8164802586474,0,5
642,2011,0,0,375000,3,0,0,0,0,0,0
642,2015,-250000,1,50000,1,1,1,1,0,1,0
648,2009,0,0,3e+05,1,0,0,0,0,0,0
667,2017,1500000,1,5400000,5,1,1,1,20.9127015957898,1,1
667,2018,1e+07,1,15750000,6,1,1,1,17.3407211209843,1,2
